filename,True Initial Fee,Alternative Answer,Alternative Answer.1,Alternative Answer.2,Alternative Answer.3,Alternative Answer.4,What is the initial fee?,What is the initial fee in dollars?,What is the initial franchise fee in dollars?,What is the initial nonrefundable franchise fee in dollars (standard)?,True Initial Fee Modified,Prediction 1,Prediction 2,Prediction 3,Prediction 4
1 McDonald's.pdf-all_items_item_5.txt,"$45,000 ",,,,,,"$45,000","$45,000","$45,000","$22,500","$45,000","$45,000","$45,000","$45,000","$22,500"
3 KFC.pdf-all_items_item_5.txt,"$45,000 ",,,,,,"$45,000","$3,000","$45,000","$45,000","$45,000","$45,000","$3,000","$45,000","$45,000"
4 Burger King.pdf-all_items_item_5.txt,"$50,000 ","$25,000 (conditional FSS)","$15,000 (shorter period)",,,,"$25,000","$25,000","$25,000","$50,000","$50,000","$25,000","$25,000","$25,000","$50,000"
5 Ace Hardware.pdf-all_items_item_5.txt,"$5,000 ",,,,,,"$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000"
6 Chick-fil-A.pdf-all_items_item_5.txt,$0 ,,,,,,we do not refund,we do not refund,license payment,license payment,$0,$0,$0,$0,$0
7 Subway.pdf-all_items_item_5.txt,"$15,000 ","$7,500(conditions)",$5000 (satellite franchise fee),$1000 (short term satellite fee),,,"$15,000","$15,000","$15,000","$15,000","$15,000","$15,000","$15,000","$15,000","$15,000"
8 Domino's.pdf-all_items_item_5.txt,"$10,000 ",$1500 (exisitng store transfer),,,,,franchise application processing fee,"$88,950 to $196,500","$88,950 to $196,500","$88,950 to $196,500","$10,000",$0,"$88,950","$88,950","$88,950"
9 Circle K.pdf-all_items_item_5.txt,"$25,000 ","$15,000 per store(2-5 stores)","$10,000 per store(6-9store)","$7,500(10-19 stores)","$5,000 (20 stores)",,"$25,000","$25,000","$25,000","$60,000 to $100,000","$25,000","$25,000","$25,000","$25,000","$60,000"
10 Taco Bell.pdf-all_items_item_5.txt,"$22,500 ",,,,,,"$22,500","$22,500","$22,500","$25,000","$22,500","$22,500","$22,500","$22,500","$25,000"
11 Wendy's.pdf-all_items_item_5.txt,"$50,000 ",,,,,,"$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000"
12 Pizza Hut.pdf-all_items_item_5.txt,"$25,000 ",,,,,,"$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000"
13 REMAX.pdf-all_items_item_5.txt,"$35,000(high density)","$17,500(low density)","$25,000(commercial)",,,,"
nonrefundable","$1,000","$25,000","$1,000","$35,000",$0,"$1,000","$25,000","$1,000"
14 Dunkin'.pdf-all_items_item_5.txt,"$90,000( Type1)","$80,000(type 2)","$70,000(type3)","$60,000(type 4)","$50,000(type 5)","$40,000(type 6)","$4,000 per person","$45,000","$22,500","$10,000","$90,000","$4,000","$45,000","$22,500","$10,000"
